"Area of usual residence
Name","Area of usual residence
Geography","Number of live births
Total","Number of live births
Asian","Number of live births
Black","Number of live births
Mixed/multiple","Number of live births
Any other ethnic group","Number of live births
White","Number of live births
Not stated","Number of stillbirths
Total","Number of stillbirths
Asian","Number of stillbirths
Black","Number of stillbirths
Mixed/multiple","Number of stillbirths
Any other ethnic group","Number of stillbirths
White","Number of stillbirths
Not stated"
"ENGLAND, WALES AND ELSEWHERE",Country,"605,060","80,167","33,405","42,245","14,917","413,335","20,991","2,408",377,217,169,67,"1,462",116
ENGLAND AND WALES,Country,"604,923","80,160","33,399","42,236","14,907","413,244","20,977","2,379",375,217,169,66,"1,437",115
ENGLAND,Country,"576,643","79,317","32,975","41,504","14,568","396,752","11,527","2,253",369,215,165,63,"1,363",78
NORTH EAST,Region,"24,676","1,425",697,897,542,"21,079",36,105,8,5,4,1,85,2
NORTH WEST,Region,"76,334","10,165","3,088","4,139","2,010","54,759","2,173",307,44,22,26,9,194,12
YORKSHIRE AND THE HUMBER,Region,"55,168","7,659","2,201","2,671","1,481","39,631","1,525",221,41,12,17,5,136,10
EAST MIDLANDS,Region,"46,837","5,040","1,899","3,067",662,"35,134","1,035",176,25,7,11,5,117,11
WEST MIDLANDS,Region,"63,344","12,678","4,298","4,858","1,339","39,555",616,267,58,31,28,3,143,4
EAST,Region,"64,270","6,074","2,553","4,388","1,048","47,034","3,173",262,27,22,12,5,180,16
LONDON,Region,"106,597","25,140","13,762","11,984","5,376","48,712","1,623",446,127,88,51,27,143,10
SOUTH EAST,Region,"90,507","9,202","3,369","6,832","1,453","69,053",598,326,31,19,15,7,248,6
SOUTH WEST,Region,"48,910","1,934","1,108","2,668",657,"41,795",748,143,8,9,1,1,117,7
WALES,Country,"28,280",843,424,732,339,"16,492","9,450",126,6,2,4,3,74,37
